boundary_error_ratio,boundary_local_snr,boundary_sec,case_id,case_type,checkpoint_best_snr,checkpoint_epoch,crest,duration_sec,hf_energy_ratio_3500_9000,inserted_silence_sec,latent_dim,local_snr_mean,local_snr_min,local_snr_p10,peak,post_boundary_snr,pre_boundary_snr,rms,run,silence_frac,snr,source_a,source_b,spectral_centroid,total_stride
nan,nan,nan,full_000,full,23.20932652510616,11,10.78975277684047,7.053061224489796,0.057239383459091187,0.0,256,18.033416874189996,-16.14666063530296,-8.313013307765292,0.7276611328135,nan,nan,0.06744001904886916,V16.1,0.034992283950617285,23.477064488173053,LJ033-0083,,1075.4766194365259,128
0.23604210295564834,8.38314442720315,3.9291156462585035,silence_000,silence,23.20932652510616,11,10.93967912557987,7.250430839002267,0.05723939463496208,0.19864733444418353,256,16.360205686209802,-66.46449471908134,-10.584315021788305,0.7276611328135,21.91707536407876,24.44828987590264,0.06651576563165328,V16.1,0.06141788430744596,23.463629707240084,LJ033-0083,,1075.4758919230167,128
nan,nan,nan,full_001,full,23.20932652510616,11,8.786546520560428,4.7542857142857144,0.21428699791431427,0.0,256,21.646910511416667,-7.045726029537231,15.321197176213964,0.52313232421975,nan,nan,0.05953787679685519,V16.1,0.010225885225885226,22.464601722371754,LJ007-0127,,2016.3246517189261,128
0.6718618056156769,22.730319683217772,2.04702947845805,silence_001,silence,23.20932652510616,11,9.19031222603481,5.201269841269841,0.21429890394210815,0.44857962743155966,256,15.516614443217762,-66.4642263608467,9.646670168449695,0.52313232421975,19.8954299995495,23.518523407265977,0.05692214925284066,V16.1,0.09558977399553571,22.225941002296018,LJ007-0127,,2016.390750524677,128
nan,nan,nan,full_002,full,23.20932652510616,11,9.860692854445142,9.572426303854876,0.1458912491798401,0.0,256,17.59080513458252,-11.025002524121842,-3.831990347473807,0.583648681641625,nan,nan,0.05918941906487422,V16.1,0.026445952092177077,22.192719898386308,LJ028-0157,,1665.7024292852946,128
0.35686669868811516,22.09004469295663,4.627936507936508,silence_002,silence,23.20932652510616,11,9.964789854362337,9.775600907029478,0.14589138329029083,0.20285811390366407,256,16.592082586279005,-66.46111941988161,-4.945483075697446,0.583648681641625,23.723345800927127,19.89795607366219,0.0585710978517177,V16.1,0.04664767666270784,22.155109022891175,LJ028-0157,,1665.7025755365964,128
nan,nan,nan,full_003,full,23.20932652510616,11,6.07950329367038,4.371156462585034,0.04051505774259567,0.0,256,23.62626379134326,-3.5835137598420257,13.472393610724282,0.428222656251,nan,nan,0.07043711230336211,V16.1,0.012211570385126162,25.505240709217986,LJ036-0177,,760.6935598273969,128
0.5677412059096674,28.477447251503687,3.353968253968254,silence_003,silence,23.20932652510616,11,6.250678552202857,4.620770975056689,0.04051527380943298,0.2511656957672945,256,20.17099323925369,-66.46425890350949,9.424543604173824,0.428222656251,22.501869452984025,24.493227456384766,0.06850818717814812,V16.1,0.06589588567839195,25.466960775646164,LJ036-0177,,760.6958378811572,128
nan,nan,nan,full_004,full,23.20932652510616,11,10.07902432873455,9.340226757369615,0.06327623873949051,0.0,256,16.481278120971623,-21.759061957756124,-11.705411619405691,0.60357666015725,nan,nan,0.059884433300395834,V16.1,0.061621154443753885,23.960352758561058,LJ037-0235,,1077.47020642467,128
0.40399384488898676,6.878590777494949,7.433605442176871,silence_004,silence,23.20932652510616,11,10.252920543453572,9.66530612244898,0.06327623128890991,0.32729094388426716,256,13.889697031502498,-66.4639963263038,-14.642409258027001,0.60357666015725,22.81878067267715,21.87810831422007,0.05886875428215204,V16.1,0.093384009009009,23.925540268882223,LJ037-0235,,1077.470133165582,128
nan,nan,nan,full_005,full,23.20932652510616,11,9.82890049691662,8.097959183673469,0.06566502898931503,0.0,256,20.96157842471193,-10.614511871853292,9.209465999775528,0.685394287110375,nan,nan,0.06973254916107431,V16.1,0.01616823476702509,23.965137878686452,LJ020-0041,,1081.930778293442,128
0.28221775139525,26.9782459585533,2.057142857142857,silence_005,silence,23.20932652510616,11,9.937510905146109,8.277913832199546,0.06566457450389862,0.1843047703068256,256,20.73798732061706,-66.45986031325293,10.972198199797992,0.685394287110375,28.069907019979272,20.978773473113694,0.06897041861312657,V16.1,0.03797773492286115,23.935057275180434,LJ020-0041,,1081.9305629540875,128
nan,nan,nan,full_006,full,23.20932652510616,11,9.050878624515331,4.371156462585034,0.039844878017902374,0.0,256,17.937739762678294,-14.297857014840325,-3.146310549102891,0.4866943359385,nan,nan,0.05377315906227958,V16.1,0.03649983399734396,24.343231234982113,LJ016-0284,,775.614414690993,128
0.5383791048350548,22.160840441975346,1.327891156462585,silence_006,silence,23.20932652510616,11,9.5023780925216,4.818140589569161,0.03984630107879639,0.4496891895652325,256,11.674563139623524,-66.46761795582957,-12.219620467913252,0.4866943359385,24.013221764881678,24.211549244396224,0.05121816151601329,V16.1,0.12638365963855422,24.24228525576583,LJ016-0284,,775.631806618242,128
nan,nan,nan,full_007,full,23.20932652510616,11,11.807233060012301,7.993469387755102,0.15930253267288208,0.0,256,19.649017416001804,-14.272053392538183,7.718834041665996,0.794952392579125,nan,nan,0.06732757696293745,V16.1,0.021701388888888888,23.235170738987275,LJ042-0020,,1749.5029246443405,128
0.2798082467626168,23.898862445907454,5.868027210884354,silence_007,silence,23.20932652510616,11,12.128692684377592,8.434648526077098,0.15930236876010895,0.4418807988241342,256,15.93991817751268,-66.49678499096447,-6.28506785893315,0.794952392579125,20.587114720741898,27.808375928421313,0.06554312268056207,V16.1,0.0729525120440468,23.156984283389534,LJ042-0020,,1749.5033521753946,128
nan,nan,nan,full_008,full,23.20932652510616,11,8.442811301696253,7.529070294784581,0.1161760464310646,0.0,256,20.233116504552143,-12.772050113900928,10.11379386955326,0.61566162109475,nan,nan,0.07292140012209132,V16.1,0.018317511565150348,21.790510994016017,LJ035-0008,,1532.9507972115048,128
