checkpoint_best_snr,checkpoint_epoch,clean_phase_coh_3500_9000_mean,clean_snr,clean_snr_3500_9000_mean,delta_phase_coh_3500_9000_mean,delta_snr,delta_snr_3500_9000_mean,mode,noise_rel_rms,noisy_phase_coh_3500_9000_mean,noisy_snr,noisy_snr_3500_9000_mean,run,sample,variance_scale
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.0,0.0,0.0,pca,0.0,0.9760528405507406,25.090155843743535,11.319543551676025,V16.3,LJ020-0028,0.0
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.0008095502853393555,2.2643481907429894,0.16716753042007326,pca,0.0695441073401687,0.9752432902654012,22.825807653000545,11.152376021255952,V16.3,LJ020-0028,0.005
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.001002669334411621,3.780498576497635,0.2835777983802412,pca,0.09801644160295686,0.975050171216329,21.3096572672459,11.035965753295784,V16.3,LJ020-0028,0.01
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.002363264560699463,5.649118751603865,0.5824973768230759,pca,0.1389887651951278,0.9736895759900411,19.44103709213967,10.73704617485295,V16.3,LJ020-0028,0.02
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.006084998448689816,8.909276195849248,1.2491577581426636,pca,0.21747348796109822,0.9699678421020508,16.180879647894287,10.070385793533362,V16.3,LJ020-0028,0.05
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.013888855775197384,11.717529045932608,2.42719575637431,pca,0.3089894224997643,0.9621639847755432,13.372626797810927,8.892347795301715,V16.3,LJ020-0028,0.1
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.0,0.0,0.0,channel_iso,0.0,0.9760528405507406,25.090155843743535,11.319543551676025,V16.3,LJ020-0028,0.0
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.00041274229685472896,0.5340085171872282,0.11663858027783647,channel_iso,0.07097071127255537,0.9756400982538859,24.556147326556307,11.202904971398189,V16.3,LJ020-0028,0.005
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.0011246800422668457,0.9980401531257819,0.2463326996407318,channel_iso,0.09992680005645094,0.9749281605084738,24.092115690617753,11.073210852035293,V16.3,LJ020-0028,0.01
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.0019530455271403735,1.8158138267616302,0.4555639609112845,channel_iso,0.1415325485779152,0.9740997950236002,23.274342016981905,10.86397959076474,V16.3,LJ020-0028,0.02
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.004584034283955929,3.631228017310953,0.9939838624298325,channel_iso,0.22341610688856336,0.9714688062667847,21.458927826432582,10.325559689246193,V16.3,LJ020-0028,0.05
20.732428689374803,13,0.9760528405507406,25.090155843743535,11.319543551676025,0.007904311021169064,5.760329544333079,1.7006208842581145,channel_iso,0.31582830323631716,0.9681485295295715,19.329826299410456,9.61892266741791,V16.3,LJ020-0028,0.1
20.732428689374803,13,0.7851243615150452,22.132908560348685,8.03473970487911,0.0,0.0,0.0,pca,0.0,0.7851243615150452,22.132908560348685,8.03473970487911,V16.3,LJ034-0124,0.0
