run,epoch,sample,seconds,full_snr,lsd,band_lo,band_hi,band_snr,mag_ratio_db,mag_l1_db,phase_mae_deg,phase_coherence,complex_corr
V16.2,1,0,2.972154195011338,8.086147746071887,12.114492140808665,0,250,9.62626046085169,4.980181524527878,8.492524559109995,1.797074859991847,0.9970891263846295,0.946608151548845
V16.2,1,0,2.972154195011338,8.086147746071887,12.114492140808665,250,500,21.636020025968108,1.867535396472177,3.013757359915354,1.2619048661856311,0.9988497960347246,0.9973868590173344
V16.2,1,0,2.972154195011338,8.086147746071887,12.114492140808665,500,1000,17.18163155091823,2.9102369236024463,4.4355955873169,1.9985918199878234,0.9977636917412205,0.9933218055555846
V16.2,1,0,2.972154195011338,8.086147746071887,12.114492140808665,1000,1500,3.591033473679012,2.77545149172801,8.153940791231092,17.106299093763106,0.9082215080767189,0.7739631322919877
V16.2,1,0,2.972154195011338,8.086147746071887,12.114492140808665,1500,2500,0.6676414764620446,-1.366969733619103,10.161204626859517,51.24563507325845,0.5166890170087914,0.39074022243487927
V16.2,1,0,2.972154195011338,8.086147746071887,12.114492140808665,2500,3500,-0.5638134772007659,-0.6458861981350069,9.122048818501858,83.95616487013048,0.09853840138457223,0.06779866036070115
V16.2,1,0,2.972154195011338,8.086147746071887,12.114492140808665,3500,5000,-0.9622260221126945,-0.2665701213214656,8.135565342600716,83.91659252237996,0.09333162205286719,0.0568709680340776
V16.2,1,0,2.972154195011338,8.086147746071887,12.114492140808665,5000,7000,-0.6394624488993127,-0.14344841987116064,9.618224285140698,77.9731735267569,0.16989564266200136,0.1103493556920331
V16.2,1,0,2.972154195011338,8.086147746071887,12.114492140808665,7000,9000,-1.0965443509971537,1.9076822817792622,8.850473322727858,72.1987570814381,0.3892586814042593,0.302431708991468
V16.2,1,0,2.972154195011338,8.086147746071887,12.114492140808665,9000,11025,-5.031596076291364,3.8630135362376365,10.08818320454103,90.57152536866548,0.17507819159732646,0.12413218129023704
V16.2,3,0,2.972154195011338,14.566751332924746,10.660488487261532,0,250,24.261028593412593,2.1536910991472253,5.526133221771774,0.8518707943111916,0.9996590574455602,0.998541589416162
V16.2,3,0,2.972154195011338,14.566751332924746,10.660488487261532,250,500,23.600737832325464,0.33014581647570934,2.0860131848144015,0.9740329321310659,0.999765004399535,0.9993394955171112
V16.2,3,0,2.972154195011338,14.566751332924746,10.660488487261532,500,1000,20.925120025901812,2.569183925782867,3.985776261044156,1.4428059995223919,0.9985966449070705,0.9961951020047897
V16.2,3,0,2.972154195011338,14.566751332924746,10.660488487261532,1000,1500,15.184282071849298,3.929301265524381,5.773379045948809,2.6675136068993277,0.9952039432882235,0.9883731017812235
V16.2,3,0,2.972154195011338,14.566751332924746,10.660488487261532,1500,2500,3.5135655565433477,3.3683892175689834,8.134539395762685,17.188324086567185,0.8761603744162901,0.7481924938209431
V16.2,3,0,2.972154195011338,14.566751332924746,10.660488487261532,2500,3500,-0.8357123074282125,1.6732913427083933,9.290227246515517,80.10949535162057,0.14072900942579344,0.07901348907011779
