mean,metric,mode,n,p05,p25,p50,p75,p95,std,variance_scale
0.0,delta_snr,channel_iso,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,delta_hf_snr,channel_iso,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,delta_hf_phase_coh,channel_iso,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1036978789368621,delta_snr,channel_iso,192,0.0760051609916312,0.08844399498670263,0.10062432496680529,0.11923528146675366,0.13763282987096995,0.02022749001167639,0.002
0.03736022876311811,delta_hf_snr,channel_iso,192,0.009616899049383764,0.025259539320755753,0.0369279571270118,0.04955684692376261,0.0674672263855914,0.01821383946236108,0.002
9.400676935911179e-05,delta_hf_phase_coh,channel_iso,192,1.7085671424865728e-05,5.790591239929199e-05,8.216500282287598e-05,0.00012327730655670166,0.00020584762096405028,9.229917986817193e-05,0.002
0.2579105005313451,delta_snr,channel_iso,192,0.1937099178408513,0.22092352013813876,0.24848922287775999,0.29798185969636215,0.34635423100922863,0.048086814051819166,0.005
0.0965122623752958,delta_hf_snr,channel_iso,192,0.03301402170364947,0.06978339894353924,0.09807142023781878,0.1251418860141298,0.15357789391314255,0.038224816933613036,0.005
0.00024794476727644604,delta_hf_phase_coh,channel_iso,192,0.00011838078498840331,0.0001735687255859375,0.0002160966396331787,0.00029636919498443604,0.0004838407039642334,0.00011960142615690342,0.005
0.49869766019629386,delta_snr,channel_iso,192,0.38335048709840275,0.4273046596997814,0.4686393626638381,0.5762160249599697,0.649958074433769,0.08910489302597502,0.01
0.18966734582781686,delta_hf_snr,channel_iso,192,0.0397636558674781,0.1402416317831734,0.19551354805796972,0.2428174181999041,0.29499873343537997,0.07296880375772201,0.01
0.0004860926419496536,delta_hf_phase_coh,channel_iso,192,0.00027103424072265624,0.0003537982702255249,0.0004349946975708008,0.0005821287631988525,0.0008486032485961911,0.00019700052240287168,0.01
0.9452516076232254,delta_snr,channel_iso,192,0.7324085993750231,0.8252488496479335,0.8955599463126589,1.0787923410082607,1.2226992132772432,0.15819986747333298,0.02
0.36731833184394896,delta_hf_snr,channel_iso,192,0.08161007837456347,0.28348964736926385,0.38197246687821895,0.4643938000148995,0.5544046223534564,0.1336000172966121,0.02
0.0009598160783449808,delta_hf_phase_coh,channel_iso,192,0.0005568474531173706,0.0007136911153793335,0.0008568763732910156,0.0011244714260101318,0.0017388850450515746,0.0003889135177863472,0.02
2.0618849245136888,delta_snr,channel_iso,192,1.6683383666419194,1.8222023919696086,1.9796159504218842,2.326332380576389,2.5851360511727597,0.30003114041105705,0.05
0.8675559130682625,delta_hf_snr,channel_iso,192,0.20111598766112423,0.6913881067535339,0.8819645342283327,1.083298156468103,1.2671366794647005,0.29526711355127555,0.05
