checkpoint_best_snr,checkpoint_epoch,clean_hf_phase_coh,clean_hf_snr,clean_snr,delta_hf_phase_coh,delta_hf_snr,delta_snr,mode,noise_rel_rms,noisy_hf_phase_coh,noisy_hf_snr,noisy_snr,repeat,run,sample,variance_scale
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0,0.0,0.0,pca,0.0,0.9863659739494324,13.690735010228947,20.042801967954652,0,V16.3,LJ027-0018,0.0
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.00025004148483276367,0.09846824050342207,0.37948920303715283,pca,0.0418856651596379,0.9861159324645996,13.592266769725525,19.6633127649175,0,V16.3,LJ027-0018,0.002
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0002856254577636719,0.10084855812269389,0.3875862394013829,pca,0.04184974850542735,0.9860803484916687,13.589886452106253,19.65521572855327,1,V16.3,LJ027-0018,0.002
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.00033974647521972656,0.10870883552314936,0.34802081831514897,pca,0.04169632571257762,0.9860262274742126,13.582026174705797,19.694781149639503,2,V16.3,LJ027-0018,0.002
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.00025004148483276367,0.1090051713958129,0.34320804745082967,pca,0.041741741868198984,0.9861159324645996,13.581729838833134,19.699593920503823,3,V16.3,LJ027-0018,0.002
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.00024145841598510742,0.10334449490042452,0.34255313570174906,pca,0.04143925466797827,0.9861245155334473,13.587390515328522,19.700248832252903,4,V16.3,LJ027-0018,0.002
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.000280916690826416,0.08546783295036775,0.369868762203275,pca,0.04213065216753088,0.986085057258606,13.605267177278579,19.672933205751377,5,V16.3,LJ027-0018,0.002
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0002709627151489258,0.10057698239737611,0.3630982013009536,pca,0.04179827127145799,0.9860950112342834,13.59015802783157,19.6797037666537,6,V16.3,LJ027-0018,0.002
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.00018131732940673828,0.07399601217554519,0.34490259381517774,pca,0.0419141357092113,0.9861846566200256,13.616738998053401,19.697899374139475,7,V16.3,LJ027-0018,0.002
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.00018596649169921875,0.08011592909331888,0.3272625489081591,pca,0.04174212560942773,0.9861800074577332,13.610619081135628,19.715539419046493,8,V16.3,LJ027-0018,0.002
20.732428689374803,13,0.9863659739494324,13.690735010228947,20.042801967954652,0.0002929568290710449,0.10623896635653374,0.3649179030071572,pca,0.04181020028687329,0.9860730171203613,13.584496043872413,19.677884064947495,9,V16.3,LJ027-0018,0.002
